FREQ,REF_AREA,CES_BREAKDOWN,CES_CUSTOM,CES_VARIABLE,CES_ANSWER,CES_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,TIME_FORMAT,COLLECTION,DECIMALS,TITLE_COMPL,TITLE,UNIT,UNIT_MULT
M,AT,ALL,T,C1010,DEC,WS,2022-04,1.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,NB,WS,2022-04,97.0,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Net Balance (increased minus decreased responses) - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,UNCH,WS,2022-04,0.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Unchanged/ Broadly unchanged/ The same - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,INC,WS,2022-04,98.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Up/Improved/Increased/Will increase - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,DEC,WS,2022-05,1.1,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,NB,WS,2022-05,97.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Net Balance (increased minus decreased responses) - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,UNCH,WS,2022-05,0.6,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Unchanged/ Broadly unchanged/ The same - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,INC,WS,2022-05,98.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Up/Improved/Increased/Will increase - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,DEC,WS,2022-06,1.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,NB,WS,2022-06,97.0,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Net Balance (increased minus decreased responses) - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,UNCH,WS,2022-06,0.4,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Unchanged/ Broadly unchanged/ The same - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,INC,WS,2022-06,98.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Up/Improved/Increased/Will increase - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,DEC,WS,2022-07,1.2,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,NB,WS,2022-07,97.3,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Net Balance (increased minus decreased responses) - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,UNCH,WS,2022-07,0.4,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Unchanged/ Broadly unchanged/ The same - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,INC,WS,2022-07,98.5,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Up/Improved/Increased/Will increase - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
M,AT,ALL,T,C1010,DEC,WS,2022-08,1.7,A,F,P1M,U,1,Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",PN,0
