KEY,FREQ,REF_AREA,CES_BREAKDOWN,CES_CUSTOM,CES_VARIABLE,CES_ANSWER,CES_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-04,1.3,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-05,1.1,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-06,1.3,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-07,1.2,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-08,1.7,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-09,2,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-10,1.8,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-11,1.6,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2022-12,1.8,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-01,2.1,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-02,1.9,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-03,2.7,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-04,2.6,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-05,2.8,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-06,4.5,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-07,3.4,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
CES.M.AT.ALL.T.C1010.DEC.WS,M,AT,ALL,T,C1010,DEC,WS,2023-08,5.1,A,F,,,P1M,,U,,,,1,"Inflation perceptions over the previous 12 months (qualitative), Weighted share",Monthly - Austria - No specific breakdown - Total - Inflation perceptions over the previous 12 months (qualitative) - Down/Deteriorated/Decreased/Will decrease - Weighted share,PN,0
